generation,N_shifts,logPrior,logLik,eventRate,acceptRate
104000,0,-4.69772,-78.3059,0.417466,0.399
105000,0,-3.02149,-75.3887,1.12629,0.427
106000,0,-2.81777,-74.8222,0.204106,0.446
107000,0,-2.33899,-74.2968,0.222488,0.429
108000,0,-3.25588,-76.178,0.136534,0.38
109000,0,-2.57479,-79.1072,0.630361,0.469
110000,1,-5.45977,-75.2771,1.58568,0.4564
111000,0,-3.04952,-76.0101,1.09165,0.4373
112000,0,-2.89255,-74.7756,0.495277,0.4375
113000,0,-2.04603,-74.453,0.208283,0.382
114000,0,-2.77692,-74.1177,0.687241,0.394
115000,0,-2.67665,-76.716,0.8904,0.413
116000,0,-2.15359,-74.6011,0.0865175,0.398
117000,0,-3.6253,-75.3478,0.475925,0.41875
118000,0,-2.73472,-75.7523,0.249412,0.393333
119000,0,-4.07334,-82.0985,1.37784,0.371
120000,0,-3.57511,-76.9842,0.735866,0.38225
121000,0,-2.60231,-75.1731,0.100901,0.398
122000,0,-2.73147,-76.2796,0.0225439,0.40675
123000,0,-4.17832,-76.6752,1.07148,0.40275
124000,0,-3.95255,-77.9696,1.1343,0.376
125000,0,-2.98549,-76.6485,1.26653,0.437
126000,0,-2.49068,-75.5717,0.40424,0.432
127000,0,-2.2015,-75.6829,0.335534,0.4105
128000,0,-2.54873,-74.288,0.361973,0.393
129000,0,-2.76312,-81.1268,0.72122,0.447
130000,0,-4.49342,-76.8981,2.57143,0.427
131000,0,-2.33113,-74.8639,0.0413154,0.435667
132000,0,-2.80923,-74.167,0.407176,0.414
133000,0,-5.11291,-75.1376,2.3378,0.376
134000,0,-2.29017,-74.2757,0.218193,0.471
135000,0,-1.94564,-74.9576,0.0676491,0.4285
136000,0,-3.29116,-75.899,0.296902,0.42
137000,1,-10.4041,-75.308,0.921534,0.400667
138000,0,-2.41737,-74.9776,0.555312,0.413
139000,0,-1.90838,-74.9891,0.036395,0.4194
140000,0,-1.85462,-78.9335,0.155584,0.417167
141000,0,-2.21795,-75.6875,0.393007,0.42
142000,0,-4.1281,-77.9086,0.899033,0.431
143000,0,-3.24585,-76.5698,0.067679,0.427
144000,0,-3.39048,-75.2145,0.000201152,0.445
145000,0,-3.02604,-78.9301,0.554617,0.3955
146000,0,-3.02877,-77.1176,0.0513938,0.418
147000,0,-2.36835,-77.9268,0.500867,0.391333
148000,0,-2.37427,-77.7465,0.452105,0.435
149000,0,-2.21051,-74.5724,0.0233281,0.437
150000,0,-2.32023,-74.3771,0.130775,0.414
151000,0,-3.21028,-75.5417,0.417179,0.407
152000,0,-2.91104,-75.2535,0.459165,0.427
153000,0,-2.63741,-77.537,0.411672,0.382
154000,0,-3.10297,-75.0021,0.47285,0.456
155000,0,-2.98259,-74.3287,0.245369,0.406429
156000,0,-2.83088,-75.4745,0.22416,0.38
157000,0,-1.94734,-75.6552,0.249694,0.415526
158000,0,-4.15311,-81.4271,0.105668,0.401
159000,0,-2.81381,-77.4215,0.195012,0.439
160000,1,-6.32508,-74.6034,1.11182,0.4342
161000,0,-2.43861,-74.014,0.041295,0.398
162000,0,-2.66766,-79.6825,0.755284,0.447333
163000,0,-2.08102,-78.6873,0.195738,0.4295
164000,0,-3.7715,-75.3101,1.27445,0.4122
165000,0,-3.74616,-75.5268,1.09805,0.526
166000,0,-3.2025,-75.3116,0.835286,0.381
167000,0,-3.68159,-76.3648,0.697733,0.423
168000,0,-2.47173,-75.0367,0.117249,0.4286
169000,0,-3.4341,-77.9633,1.34162,0.433571
170000,0,-3.25369,-75.9153,0.363844,0.397
171000,1,-4.87026,-75.9494,0.741009,0.396
172000,0,-2.47892,-77.0529,0.0875756,0.404
173000,0,-3.0936,-74.7507,0.439205,0.4254
174000,0,-2.42009,-74.9831,0.0905221,0.423
175000,0,-2.07493,-74.9554,0.0604687,0.427625
176000,0,-3.25497,-76.2605,0.388904,0.387
177000,0,-2.2883,-76.4958,0.0662162,0.382
178000,0,-3.35264,-75.7511,1.11916,0.4035
179000,0,-2.98573,-76.0537,1.2298,0.422812
180000,0,-2.11512,-74.9753,0.199322,0.436
181000,0,-2.09177,-74.3453,0.121958,0.419
182000,0,-2.37653,-74.3655,0.0344186,0.438
183000,0,-2.97279,-74.8867,0.448063,0.454
184000,0,-2.55888,-75.4251,0.111608,0.417
185000,0,-3.4615,-74.6086,1.50209,0.422
186000,0,-3.13069,-74.9257,0.981353,0.382
187000,0,-3.03487,-75.2553,1.0443,0.412
188000,1,-5.16303,-75.8919,0.319851,0.466
189000,0,-1.90494,-77.0983,0.176156,0.55
190000,2,-9.14212,-79.2394,1.80081,0.406
191000,0,-2.28443,-74.7716,0.254376,0.424368
192000,0,-2.53452,-77.3491,0.0856537,0.431
193000,0,-2.71828,-74.567,0.552196,0.401
194000,0,-2.79739,-74.9044,0.568805,0.391
195000,0,-2.85752,-76.9486,0.243086,0.38
196000,1,-5.02174,-75.0955,0.14684,0.3965
197000,0,-2.41261,-76.7788,0.379101,0.424462
198000,0,-2.79407,-76.3767,0.32015,0.41675
199000,0,-2.44308,-75.2845,0.599326,0.386
200000,0,-2.747,-75.8722,0.492774,0.4134
201000,0,-4.302,-78.0108,0.70665,0.388
202000,0,-2.71057,-75.5872,0.324301,0.419833
203000,0,-4.87278,-77.659,1.48423,0.415667
204000,0,-2.8318,-74.5987,0.817185,0.392
205000,0,-2.85887,-77.467,0.00529483,0.40525
206000,0,-3.18379,-75.5309,1.01219,0.419286
207000,0,-3.63938,-76.8737,0.706961,0.377
208000,0,-3.28563,-77.2075,0.067075,0.408
209000,0,-3.06991,-74.8643,0.248878,0.407
210000,0,-3.32589,-79.4656,0.837239,0.476
211000,0,-2.46474,-74.4323,0.228918,0.368
212000,0,-2.70263,-74.0084,0.465058,0.456
213000,0,-2.67899,-77.0912,0.708326,0.40625
214000,0,-3.36869,-74.9193,0.564441,0.411857
215000,0,-2.60276,-75.4938,0.819121,0.413
216000,0,-3.87809,-77.0564,2.14594,0.414
217000,0,-2.37305,-74.528,0.0228356,0.42825
218000,0,-2.43807,-76.8411,0.263071,0.414833
219000,0,-4.31081,-75.0537,1.94746,0.416118
220000,0,-4.46714,-78.3385,0.845488,0.42875
221000,0,-3.26471,-75.5655,0.743549,0.376
222000,0,-2.67121,-77.4511,0.427979,0.4114
223000,0,-3.61683,-75.0225,1.24981,0.4104
224000,0,-2.02629,-75.8546,0.254433,0.4268
225000,0,-2.15018,-75.2322,0.21592,0.353
226000,1,-6.10859,-75.4402,0.768175,0.4426
227000,0,-5.81168,-78.1002,2.55231,0.4182
228000,0,-4.02312,-75.6222,0.796753,0.359
229000,0,-2.55306,-77.69,0.607718,0.416833
230000,0,-4.36492,-74.472,2.20778,0.41
231000,0,-3.21438,-74.8907,1.45399,0.401
232000,0,-3.81896,-74.9812,1.50601,0.401
233000,0,-2.19148,-76.9875,0.360653,0.38
234000,0,-4.63305,-74.7836,2.74102,0.393
235000,0,-2.29334,-74.6507,0.00814464,0.448
236000,0,-2.81661,-75.0202,0.0189232,0.408818
237000,0,-2.79774,-75.9082,0.5261,0.499
238000,0,-3.22871,-75.3691,0.0448249,0.417
239000,0,-3.48718,-74.4854,1.20647,0.425333
240000,0,-2.76065,-76.7906,1.01339,0.4482
241000,0,-3.53846,-76.6902,0.537814,0.524
242000,0,-3.55724,-76.2175,0.733782,0.367
243000,0,-1.93145,-76.0046,0.104967,0.423
244000,0,-3.16233,-75.6491,0.69157,0.434333
245000,0,-3.4995,-75.9874,1.24823,0.403
246000,1,-6.94076,-76.7486,0.392627,0.451429
247000,0,-1.96549,-75.0702,0.139188,0.437263
248000,2,-9.4717,-74.7258,0.392376,0.535
249000,0,-2.89926,-75.3801,0.451695,0.537
250000,0,-2.16701,-74.502,0.32589,0.412
251000,0,-2.28877,-75.1569,0.134356,0.429
252000,0,-3.12847,-74.0775,1.07043,0.422
253000,0,-2.25351,-74.3687,0.230098,0.404
254000,1,-6.40851,-78.7437,0.86901,0.462
255000,0,-3.34648,-75.2437,0.24727,0.4165
256000,0,-3.15153,-74.9491,0.262188,0.3915
257000,0,-2.74767,-75.8022,0.73647,0.443714
258000,0,-2.10349,-76.5155,0.0614588,0.41
259000,0,-2.82276,-76.9773,0.855957,0.437
260000,0,-3.82234,-75.7442,0.313765,0.379
261000,0,-2.73151,-74.5296,0.547674,0.4152
262000,0,-2.74418,-74.8668,0.45805,0.4055
263000,0,-1.99994,-74.3067,0.0413687,0.386
264000,0,-3.32601,-76.4116,0.408172,0.417667
265000,0,-1.95069,-74.4951,0.0373785,0.427
266000,0,-4.78024,-74.8931,2.70571,0.447667
267000,0,-1.84269,-75.5542,0.0787958,0.382
268000,0,-1.90927,-75.0845,0.19132,0.424294
269000,0,-2.85263,-76.918,1.07539,0.544
270000,0,-2.62843,-75.4818,0.623661,0.4
271000,0,-2.32348,-74.6494,0.292467,0.465
272000,1,-7.97124,-75.7355,1.06419,0.512
273000,1,-5.78445,-77.64,0.767921,0.442083
274000,0,-3.47076,-75.3987,0.56917,0.4705
275000,0,-2.35002,-76.0234,0.560596,0.415
276000,0,-3.57704,-76.6079,0.448934,0.433
277000,0,-1.8707,-74.951,0.144408,0.383
278000,0,-2.59788,-74.9304,0.27732,0.394
279000,0,-3.20044,-75.1521,1.08363,0.445
280000,0,-3.40687,-75.2863,1.40125,0.383
281000,0,-3.0294,-75.5127,0.107991,0.436857
282000,0,-2.02944,-75.7349,0.117046,0.409
283000,0,-1.98178,-76.3306,0.25867,0.4268
284000,0,-2.45816,-74.6347,0.250443,0.437
285000,0,-3.58943,-74.4721,0.723859,0.4025
286000,0,-2.57051,-74.7601,0.439346,0.394
287000,0,-3.31805,-74.1927,1.20559,0.389
288000,0,-2.02256,-75.1257,0.0641645,0.401
289000,0,-4.40892,-74.2264,1.8194,0.419667
290000,0,-2.34538,-75.9355,0.603741,0.411
291000,0,-3.64507,-74.7236,1.33901,0.423333
292000,0,-2.0798,-76.6774,0.292335,0.3775
293000,0,-3.59681,-74.126,1.1596,0.385
294000,0,-1.98101,-76.5393,0.115636,0.425333
295000,0,-2.67449,-75.0385,0.124938,0.471
296000,0,-3.31334,-75.6728,0.292827,0.419
297000,0,-2.46826,-75.5189,0.656813,0.381
298000,0,-3.40516,-77.0704,0.839523,0.4198
299000,0,-2.1539,-75.6785,0.47674,0.4175
300000,0,-2.49632,-75.6041,0.722019,0.417187
301000,0,-1.78743,-74.7711,0.0240204,0.405667
302000,1,-6.39142,-78.4818,1.98305,0.487
303000,0,-2.07428,-76.8946,0.195909,0.428
304000,0,-2.18635,-77.3653,0.0330761,0.384
305000,0,-3.24754,-74.3387,0.60513,0.415
306000,0,-3.07612,-76.6585,0.568309,0.4055
307000,1,-7.06687,-75.7881,0.788212,0.414
308000,2,-12.6566,-76.0597,2.00236,0.408
309000,0,-3.57291,-76.877,1.54563,0.406
310000,0,-2.73948,-74.807,0.604524,0.401
311000,0,-4.47846,-75.8926,1.1813,0.404167
312000,0,-2.81404,-75.2396,0.332011,0.411235
313000,0,-3.33473,-74.7704,0.996245,0.411
314000,0,-2.16905,-74.268,0.0386071,0.377
315000,0,-5.78824,-78.2966,2.45247,0.434375
316000,0,-3.10774,-74.5909,0.692723,0.424167
317000,0,-2.16507,-76.1255,0.186835,0.408
318000,0,-2.83453,-76.0033,1.10692,0.420143
319000,0,-2.25466,-74.7345,0.0775513,0.4265
320000,0,-2.92231,-75.7732,0.0706538,0.424
321000,0,-1.94871,-78.1468,0.228202,0.386
322000,0,-3.8274,-74.2799,1.92642,0.414
323000,0,-2.40487,-74.6161,0.558305,0.40975
324000,0,-2.85467,-74.7208,0.720284,0.403
325000,0,-3.02411,-74.7177,0.540471,0.424455
326000,1,-6.65316,-78.0598,0.0724053,0.4475
327000,0,-2.21014,-78.3122,0.539444,0.398
328000,0,-3.3896,-75.9058,1.4044,0.397
329000,0,-2.22252,-75.3737,0.272975,0.414
330000,0,-3.33205,-78.6675,1.53652,0.455
331000,0,-2.4856,-77.4215,0.676236,0.492
332000,0,-2.58079,-76.5114,0.136985,0.421
333000,0,-2.38622,-75.0102,0.34887,0.431333
334000,0,-3.4662,-75.3361,1.12804,0.397
335000,0,-2.90371,-76.5944,0.0976471,0.414333
336000,0,-4.45032,-75.3296,2.54221,0.439
337000,0,-2.22805,-74.3195,0.0445933,0.389
338000,0,-3.1543,-74.1263,1.18633,0.43925
339000,0,-1.95045,-75.9715,0.243195,0.457
340000,0,-2.25655,-74.1699,0.09056,0.48
341000,0,-4.31803,-76.3203,1.07118,0.391
342000,1,-6.33658,-74.8246,0.735717,0.408
343000,0,-2.953,-74.6901,1.04468,0.445278
344000,0,-2.14511,-74.5628,0.039159,0.432
345000,0,-2.27371,-75.1609,0.447933,0.457667
346000,0,-2.63052,-75.8944,0.199016,0.404
347000,0,-2.43608,-75.3481,0.155813,0.435
348000,1,-5.26909,-77.2377,1.41999,0.43304
349000,0,-2.87903,-76.1606,0.613053,0.43425
350000,0,-2.57129,-74.5945,0.181508,0.373
351000,0,-2.41753,-77.0259,0.724808,0.451
352000,0,-3.25028,-76.7288,1.02102,0.434
353000,0,-3.2436,-74.6094,1.01253,0.464
354000,0,-2.44391,-75.4107,0.0656858,0.437
355000,0,-2.55534,-74.5502,0.290717,0.452
356000,0,-3.24826,-76.307,0.361315,0.441417
357000,1,-5.82515,-76.4436,0.651621,0.388
358000,0,-2.23507,-74.4398,0.331273,0.4531
359000,0,-4.96821,-77.1797,0.33765,0.388
360000,0,-3.41598,-75.472,0.440102,0.443667
361000,0,-2.38848,-78.4634,0.328213,0.452167
362000,0,-5.98737,-81.4697,1.4906,0.3925
363000,0,-3.01291,-75.9295,1.179,0.431937
364000,0,-2.33586,-76.6799,0.229131,0.4254
365000,0,-2.92766,-76.3497,0.473643,0.398
366000,1,-7.48039,-80.3691,0.873175,0.4202
367000,0,-2.56483,-74.7033,0.0501739,0.4335
368000,0,-2.30373,-74.1761,0.0635094,0.387
369000,0,-3.3066,-75.3667,0.618777,0.4305
370000,0,-2.12118,-74.8378,0.194138,0.387
371000,0,-2.12539,-79.2145,0.236266,0.399
372000,0,-2.19744,-74.6961,0.0810853,0.4277
373000,0,-1.93312,-74.7056,0.165244,0.3905
374000,1,-4.86495,-75.0483,0.711925,0.411
375000,0,-4.24061,-77.3704,0.266927,0.453
376000,0,-2.49849,-74.9386,0.0136698,0.436
377000,0,-3.20678,-74.1253,1.14084,0.432
378000,0,-2.89934,-75.3376,1.06797,0.415
379000,0,-2.06878,-75.7824,0.282438,0.406909
380000,0,-4.10713,-74.6388,1.07089,0.38
381000,0,-2.81727,-75.1064,0.0847364,0.388
382000,1,-6.06331,-75.4809,0.412466,0.4485
383000,0,-1.89676,-77.8234,0.0478214,0.492
384000,0,-5.34078,-77.1264,1.5143,0.396
385000,0,-2.18065,-77.3182,0.145236,0.464
386000,0,-4.12479,-75.8056,0.392767,0.447077
387000,0,-2.72494,-74.1085,0.404893,0.406
388000,0,-2.11086,-74.1739,0.0187734,0.429
389000,0,-2.99667,-74.8471,0.32968,0.433565
390000,0,-2.03395,-74.7825,0.125447,0.421625
391000,0,-3.11039,-75.7838,0.543337,0.472
392000,0,-2.49768,-74.7065,0.557816,0.429333
393000,0,-4.19541,-75.8619,1.72105,0.415167
394000,0,-2.89488,-75.9744,0.48434,0.385
395000,0,-3.13613,-74.2903,0.51414,0.389
396000,0,-1.81521,-75.1184,0.051116,0.492
397000,0,-3.85343,-75.802,0.0602878,0.4104
398000,0,-2.78243,-76.9275,0.342749,0.42
399000,0,-1.90685,-75.7001,0.22771,0.4
400000,0,-1.78301,-76.6024,0.0388887,0.408556
401000,0,-2.68495,-74.24,0.813432,0.422
402000,0,-3.44085,-76.9498,1.7033,0.428
403000,0,-5.01288,-76.1425,1.34543,0.495
404000,0,-2.8205,-76.2073,0.889148,0.38
405000,0,-3.48917,-76.2045,0.0701396,0.412
406000,0,-2.40603,-75.2464,0.215431,0.363
407000,0,-2.66549,-75.7122,0.938529,0.386
408000,0,-1.81917,-76.2355,0.167938,0.406
409000,0,-2.68785,-74.2978,0.735809,0.459
410000,0,-2.16145,-74.3279,0.0865564,0.374
411000,0,-5.49553,-78.1175,2.10119,0.39
412000,0,-3.07557,-76.4478,0.800866,0.414538
413000,0,-2.78011,-74.5004,0.635868,0.418
414000,0,-1.92568,-76.9844,0.203323,0.455
415000,0,-2.92343,-74.0168,0.871422,0.428333
416000,0,-4.18257,-75.6744,1.78158,0.369
417000,0,-1.77854,-76.2929,0.0359462,0.491
418000,0,-2.90735,-75.9003,1.01216,0.369
419000,0,-2.52725,-75.4943,0.199178,0.4016
420000,0,-2.08765,-76.4756,0.398197,0.436
421000,0,-2.31907,-75.224,0.00204328,0.406
422000,1,-4.37178,-81.5742,0.612072,0.422
423000,0,-2.50166,-74.4608,0.00348106,0.4204
424000,0,-2.50311,-75.197,0.306494,0.441091
425000,0,-2.21032,-74.151,0.00522904,0.412
426000,0,-2.10628,-75.9147,0.287475,0.43875
427000,0,-2.43541,-73.9577,0.235181,0.422
428000,2,-8.92611,-77.5198,1.5032,0.4296
429000,0,-3.77289,-74.6274,0.950968,0.474
430000,0,-3.39215,-75.4228,0.405085,0.442
431000,0,-2.01854,-77.4465,0.00509672,0.477
432000,0,-2.50693,-74.1259,0.0134207,0.447909
433000,0,-2.8177,-76.1984,0.334957,0.38
434000,0,-1.94331,-74.5719,0.165461,0.44325
435000,0,-2.6373,-74.9125,0.281873,0.421
436000,0,-3.83562,-76.3296,0.508021,0.44125
437000,0,-2.05503,-77.0283,0.284639,0.416
438000,0,-2.7681,-74.5601,0.637371,0.435
439000,0,-2.74529,-75.0338,1.04567,0.3915
440000,0,-2.97697,-77.7704,0.791321,0.369
441000,0,-2.29966,-77.3437,0.112539,0.4087
442000,0,-2.29507,-78.3693,0.141812,0.41825
443000,0,-1.89471,-76.6405,0.190701,0.411
444000,0,-2.79591,-74.2851,0.32236,0.386
445000,0,-2.10548,-75.6666,0.433844,0.42725
446000,0,-3.32428,-74.7377,0.299562,0.425
447000,0,-2.0618,-77.7193,0.240673,0.419429
448000,0,-4.28561,-74.8248,1.60936,0.377
449000,0,-2.7326,-75.9834,0.183237,0.404
450000,0,-2.68114,-74.7953,0.474945,0.407882
451000,0,-2.51769,-76.5308,0.74068,0.465
452000,1,-7.73712,-79.963,0.121069,0.4275
453000,0,-2.23097,-74.1695,0.0949146,0.413
454000,0,-2.82556,-75.3139,0.244146,0.377
455000,0,-2.85666,-74.5408,0.182755,0.429143
456000,0,-4.57486,-74.1688,1.92261,0.472
457000,0,-2.44072,-74.2301,0.286624,0.525
458000,0,-2.79945,-74.4792,0.339228,0.442667
459000,0,-2.47874,-74.8534,0.349807,0.432
460000,0,-2.55564,-75.0403,0.809019,0.385
461000,0,-3.59822,-76.1905,0.848961,0.396
462000,0,-4.46709,-74.7975,1.24457,0.4076
463000,0,-2.28777,-74.8835,0.0564925,0.437
464000,0,-2.21208,-75.8493,0.121106,0.4245
465000,0,-2.49803,-76.44,0.179141,0.40175
466000,1,-7.61277,-77.7041,0.103337,0.408
467000,1,-7.35055,-76.2284,1.78168,0.433
468000,0,-2.9095,-74.1751,0.820612,0.442
469000,0,-3.09627,-76.1777,0.494987,0.434
470000,0,-5.76037,-78.339,0.59313,0.4284
471000,0,-1.88703,-75.639,0.0493662,0.42125
472000,0,-2.82627,-75.5788,0.438245,0.442167
473000,0,-2.98098,-75.5865,0.334348,0.369
474000,0,-2.59782,-76.9256,0.309837,0.393
475000,0,-3.88279,-76.8127,0.404444,0.382
476000,0,-2.02792,-75.9129,0.340763,0.443167
477000,2,-10.3996,-75.6165,0.5934,0.446625
478000,0,-1.78494,-76.7596,0.149819,0.456
479000,0,-2.77025,-76.0857,0.673525,0.468375
480000,0,-1.82167,-75.8011,0.114102,0.442
481000,0,-1.92306,-74.4786,0.009609,0.374
482000,0,-4.11266,-77.9169,1.53757,0.412
483000,0,-2.27067,-75.4911,0.0129974,0.39
484000,0,-2.8065,-74.7469,0.466809,0.444333
485000,0,-1.96316,-76.23,0.00656483,0.4576
486000,1,-6.31052,-78.2211,0.658797,0.4665
487000,0,-2.98556,-75.3526,0.641395,0.493
488000,0,-2.07399,-75.7699,0.172858,0.417
489000,0,-2.21307,-74.1821,0.16073,0.445
490000,0,-1.93837,-74.7628,0.0365107,0.41
491000,0,-2.53369,-76.718,0.79772,0.385
492000,0,-4.62857,-77.6954,2.79047,0.40975
493000,0,-4.16889,-77.6812,1.71099,0.415
494000,0,-2.33724,-75.255,0.276086,0.451833
495000,0,-2.8613,-76.0493,0.481726,0.447
496000,0,-3.20816,-76.3747,1.31105,0.4
497000,0,-3.22298,-75.5497,0.0296111,0.397
498000,0,-2.07104,-78.4616,0.214946,0.394
499000,0,-2.19816,-77.3851,0.470406,0.413
500000,0,-1.86915,-77.7815,0.0344126,0.366
501000,0,-2.196,-74.4207,0.0076226,0.406
502000,0,-3.65458,-74.9288,0.877381,0.415889
503000,0,-3.03436,-74.8667,1.09634,0.447
504000,0,-2.31889,-74.128,0.177737,0.39
505000,0,-4.01853,-76.692,2.1851,0.398
506000,0,-3.74407,-76.4565,2.00302,0.39
507000,0,-2.35232,-79.4772,0.347634,0.403333
508000,0,-4.15927,-79.5668,1.75675,0.4178
509000,0,-3.86288,-74.5047,1.87656,0.436
510000,0,-2.92513,-76.1326,0.738653,0.413
511000,0,-1.7913,-75.9154,0.00638601,0.4122
512000,0,-2.37575,-75.1764,0.0776994,0.4065
513000,0,-1.87163,-74.8661,0.149911,0.401
514000,1,-6.37904,-82.4901,0.346334,0.405522
515000,0,-2.0952,-74.8525,0.0409742,0.431
516000,0,-3.59484,-74.4678,1.44489,0.417667
517000,0,-3.08798,-76.1286,1.19777,0.424
518000,0,-1.88429,-74.8524,0.18464,0.4398
519000,0,-2.39225,-74.6876,0.27442,0.417
520000,0,-2.73266,-75.3187,0.292036,0.385
521000,0,-2.74635,-74.7675,0.0099558,0.376
522000,0,-2.23716,-74.915,0.300356,0.405
523000,0,-2.09133,-77.2494,0.218966,0.4125
524000,0,-3.04441,-76.4246,0.731427,0.409385
525000,0,-3.88584,-75.922,1.08587,0.433
